,0
1939.SKBTI.0939,15729.0
1939.100187,15700.0
1939.SKBTI058,15574.0
1939.SKBTI073,15553.0
1939.SKBTI.0195,15532.0
1939.121983,15504.0
1939.SKBTI.1123,15459.0
1939.100191,15451.0
1939.SKBTI.0114,15437.0
1939.SKBTI.0590,15393.0
1939.SKBTI.1195,15383.0
1939.SKBTI.0908,15357.0
1939.121193,15329.0
1939.SKBTI.0239,15323.0
1939.SKBTI.0230.a,15321.0
1939.SKBTI.1332,15317.0
1939.SKBTI.0103,15207.0
1939.SKBTI.1302,15180.0
1939.SKBTI.0160,15152.0
1939.SKBTI.1192,15131.0
1939.SKBTI.1284,15130.0
1939.SKBTI.0992,15090.0
1939.SKBTI.0217,15076.0
1939.SKBTI.1325,14948.0
1939.SKBTI.0755,14937.0
1939.SKBTI.0273,14920.0
1939.SKBTI.0241,14914.0
1939.SKBTI023,14912.0
1939.100228,14870.0
1939.121404,14856.0
1939.SKBTI.0194,14763.0
1939.SKBTI.0228.a,14727.0
1939.SKBTI.0510,14682.0
1939.SKBTI.1224,14649.0
1939.100065,14630.0
1939.SKBTI.1318,14564.0
1939.122062,14542.0
1939.SKBTI.0563,14513.0
1939.SKBTI.1129,14505.0
1939.SKBTI.1091,14494.0
1939.SKBTI.0867,14431.0
1939.SKBTI.0757,14428.0
1939.MGH103128,14373.0
1939.SKBTI.0113,14370.0
1939.SKBTI.1208,14322.0
1939.SKBTI.0671,14295.0
1939.SKBTI.0490,14279.0
1939.SKBTI.1301,14265.0
1939.SKBTI.1113,14241.0
1939.SKBTI061,14234.0
1939.121959.a,14227.0
1939.SKBTI.0658,14212.0
1939.SKBTI.1230,14208.0
1939.SKBTI.0197,14177.0
1939.SKBTI.0754,14147.0
1939.100105,14098.0
1939.121977,14098.0
1939.122163.a,14066.0
1939.122039.a,13938.0
1939.122057.b,13916.0
1939.SKBTI.0619,13910.0
1939.SKBTI.0253.b,13906.0
1939.MGH109812,13904.0
1939.SKBTI075.b,13894.0
1939.SKBTI.1257,13851.0
1939.SKBTI066.b,13846.0
1939.SKBTI.0638,13824.0
1939.SKBTI.0954,13783.0
1939.SKBTI.0588,13689.0
1939.SKBTI004,13631.0
1939.SKBTI.1295,13591.0
1939.SKBTI.0521,13526.0
1939.SKBTI.0684,13517.0
1939.SKBTI082.b,13498.0
1939.SKBTI.0675,13458.0
1939.SKBTI076.b,13423.0
1939.SKBTI.0282.a,13421.0
1939.SKBTI.0250.b,13410.0
1939.SKBTI.0107.a,13372.0
1939.SKBTI072,13362.0
1939.SKBTI.0537,13320.0
1939.SKBTI.0235,13313.0
1939.121978,13278.0
1939.122049,13258.0
1939.SKBTI.0676,13241.0
1939.SKBTI.0159,13237.0
1939.SKBTI.0512,13182.0
1939.SKBTI.1320,13171.0
1939.SKBTI.0883,13162.0
1939.SKBTI.1084,13153.0
1939.121465,13149.0
1939.SKBTI.0921,13116.0
1939.SKBTI.1033,13115.0
1939.SKBTI.0213.b,13104.0
1939.SKBTI.0660,13077.0
1939.SKBTI.1115,13070.0
1939.122075,13062.0
1939.SKBTI.1273,13006.0
1939.SKBTI.0211.a,12990.0
1939.SKBTI.1259,12968.0
1939.100225,12962.0
1939.100003,12909.0
1939.SKBTI.0208,12902.0
1939.SKBTI.0513,12869.0
1939.122097,12862.0
1939.SKBTI.1323,12849.0
1939.SKBTI.0531,12818.0
1939.122164.b,12798.0
1939.SKBTI.1103,12798.0
1939.SKBTI.0890,12716.0
1939.SKBTI.0210,12678.0
1939.121477,12646.0
1939.MGH105553,12601.0
1939.SKBTI.0911,12592.0
1939.121501,12579.0
1939.SKBTI.0605,12578.0
1939.121980.b,12572.0
1939.122077,12562.0
1939.SKBTI.0634,12542.0
1939.122100.a,12516.0
1939.SKBTI.0750,12492.0
1939.122059,12480.0
1939.100198,12449.0
1939.SKBTI.0882,12431.0
1939.SKBTI.0489,12371.0
1939.121953.a,12367.0
1939.SKBTI.0275.b,12363.0
1939.SKBTI065,12352.0
1939.SKBTI.1085,12352.0
1939.SKBTI.0143.b,12309.0
1939.SKBTI.0662,12300.0
1939.121475,12290.0
1939.121979,12282.0
1939.SKBTI.0245.b,12240.0
1939.SKBTI.0272.b,12229.0
1939.SKBTI.0872,12194.0
1939.121478,12177.0
1939.SKBTI.0891,12164.0
1939.SKBTI.0485,12157.0
1939.100195,12141.0
1939.SKBTI.1264,12019.0
1939.122072,11959.0
1939.SKBTI.0935,11947.0
1939.SKBTI.0918,11931.0
1939.SKBTI.1043,11903.0
1939.SKBTI.0756.b,11836.0
1939.SKBTI.0592,11832.0
1939.122063,11819.0
1939.SKBTI.0913,11754.0
1939.SKBTI.0925,11751.0
1939.SKBTI088,11718.0
1939.SKBTI.0620,11685.0
1939.121968.a,11658.0
1939.122039.b,11652.0
1939.121495,11634.0
1939.SKBTI.0274.b,11612.0
1939.SKBTI.0573,11612.0
1939.SKBTI.0865,11531.0
1939.SKBTI.0931,11520.0
1939.122115.b,11509.0
1939.SKBTI.1050,11494.0
1939.SKBTI.0949,11475.0
1939.122113.b,11439.0
1939.121471,11396.0
1939.MGH104824.b,11388.0
1939.122119.a,11379.0
1939.SKBTI.0244.b,11270.0
1939.SKBTI.0277.b,11226.0
